text|gram|dataset|0th common|0th common #|0th common %|1th common|1th common #|1th common %|2th common|2th common #|2th common %|3th common|3th common #|3th common %|4th common|4th common #|4th common %|5th common|5th common #|5th common %|6th common|6th common #|6th common %|7th common|7th common #|7th common %|8th common|8th common #|8th common %|9th common|9th common #|9th common %|hapax #|hapax %|max|mean|median|min|std|sum
02 - nestor.txt|1-gram|t_raw_w_stop|u'.',)|440|0.119241192412|u',',)|339|0.0918699186992|u'said',)|64|0.0173441734417|u'I',)|56|0.0151761517615|u'?',)|52|0.0140921409214|u':',)|48|0.0130081300813|u"'s",)|46|0.0124661246612|u'Stephen',)|44|0.0119241192412|u'Mr',)|40|0.0108401084011|u'sir',)|40|0.0108401084011|1085|0.294037940379|440|2.43083003953|1.0|1|14.7346811355|3690|
02 - nestor.txt|1-gram|t_lower_nopunct_s_lengths|4404,)|1|1.0|1|1.0|1|1.0|1.0|1|0.0|1|
02 - nestor.txt|1-gram|t_lower_w_stop_stem|u'.',)|439|0.131162234837|u',',)|339|0.101284732596|u'said',)|64|0.0191216014341|u'?',)|52|0.0155363011652|u':',)|48|0.0143412010756|u"'s",)|46|0.0137436510308|u'stephen',)|44|0.013146100986|u'mr',)|40|0.0119510008963|u'sir',)|40|0.0119510008963|u'deasi',)|35|0.0104571257843|812|0.242605318195|439|2.69701853344|1.0|1|16.1445943975|3347|
02 - nestor.txt|1-gram|t_raw_s_lengths|5,)|48|0.0943025540275|7,)|46|0.090373280943|6,)|44|0.0864440078585|4,)|37|0.0726915520629|9,)|32|0.0628683693517|8,)|32|0.0628683693517|12,)|30|0.0589390962672|3,)|27|0.0530451866405|10,)|24|0.0471512770138|2,)|22|0.0432220039293|7|0.0137524557957|48|14.1388888889|10.0|1|14.1973252132|509|
02 - nestor.txt|1-gram|t_lower_w_pos_only|'NN',)|1022|0.190281139453|'.',)|504|0.0938372742506|'IN',)|491|0.0914168683672|'DT',)|471|0.087693167008|',',)|339|0.0631167380376|'JJ',)|285|0.0530627443679|'VBD',)|283|0.052690374232|'NNS',)|269|0.0500837832806|'PRP',)|257|0.0478495624651|'RB',)|222|0.0413330850866|2|0.000372370135915|1022|153.457142857|70.0|1|208.68682522|5371|
02 - nestor.txt|1-gram|t_raw_s_|u'Yes, sir.',)|5|0.0098231827112|u'Stephen asked.',)|3|0.00589390962672|u'Day!...',)|2|0.00392927308448|u'What, sir?',)|2|0.00392927308448|u'See.',)|2|0.00392927308448|u'Well?',)|2|0.00392927308448|u'Very good.',)|2|0.00392927308448|u'What is it now?',)|2|0.00392927308448|u'I paid my way.',)|2|0.00392927308448|u'Fair Rebel!',)|2|0.00392927308448|483|0.948919449902|5|1.03036437247|1.0|1|0.240379820962|509|
02 - nestor.txt|1-gram|t_lower_nopunct_s_|u'\nyou cochrane what city sent for him\n\ntarentum sir\n\nvery good well\n\nthere was a battle sir|1|1.0|1|1.0|1|1.0|1.0|1|0.0|1|
02 - nestor.txt|1-gram|t_raw_w_pos_only|'NN',)|763|0.142032762472|'.',)|505|0.0940059568131|'IN',)|487|0.0906552494415|'DT',)|465|0.0865599404319|'NNP',)|355|0.0660833953835|',',)|339|0.063104988831|'PRP',)|309|0.057520476545|'VBD',)|288|0.0536113179449|'JJ',)|250|0.0465376023827|'NNS',)|244|0.0454206999255|1|0.000186150409531|763|149.222222222|72.0|1|181.102351526|5372|
02 - nestor.txt|1-gram|t_lower_w_pos|(u'.', '.'),)|439|0.0817352448334|(u',', ','),)|339|0.0631167380376|(u'the', 'DT'),)|267|0.0497114131447|(u'of', 'IN'),)|128|0.0238316886986|(u'and', 'CC'),)|121|0.0225283932229|(u'a', 'DT'),)|113|0.0210389126792|(u'his', 'PRP$'),)|81|0.0150809905046|(u'to', 'TO'),)|70|0.013032954757|(u'in', 'IN'),)|69|0.0128467696891|(u'said', 'VBD'),)|64|0.0119158443493|1144|0.212995717743|439|3.29105392157|1.0|1|16.9094827314|5371|
02 - nestor.txt|1-gram|t_lower_nopunct_w_stop|u'said',)|64|0.0267223382046|u'stephen',)|42|0.0175365344468|u'mr',)|40|0.0167014613779|u'sir',)|40|0.0167014613779|u'deasy',)|35|0.0146137787056|u'one',)|14|0.00584551148225|u'asked',)|13|0.00542797494781|u'two',)|12|0.00501043841336|u'know',)|12|0.00501043841336|u'back',)|11|0.00459290187891|1014|0.423382045929|64|1.70099431818|1.0|1|2.90560765237|2395|
