text|gram|dataset|0th common|0th common #|0th common %|1th common|1th common #|1th common %|2th common|2th common #|2th common %|3th common|3th common #|3th common %|4th common|4th common #|4th common %|5th common|5th common #|5th common %|6th common|6th common #|6th common %|7th common|7th common #|7th common %|8th common|8th common #|8th common %|9th common|9th common #|9th common %|hapax #|hapax %|max|mean|median|min|std|sum
finnegans-wake.txt|1-gram|t_raw_w_stop|u',',)|19433|0.104407766782|u'.',)|8467|0.0454906891031|u'!',)|4716|0.0253376744786|u'>',)|3411|0.0183262950904|u'<',)|3411|0.0183262950904|u"''",)|2774|0.0149038823163|u'I',)|1573|0.00845126419737|u'?',)|1512|0.00812352922214|u')',)|1335|0.00717256052352|u'(',)|1320|0.00709196995584|51850|0.278574728947|19433|2.92205284393|1.0|1|90.4020747944|186126|
finnegans-wake.txt|1-gram|t_lower_nopunct_s_lengths|231133,)|1|1.0|1|1.0|1|1.0|1.0|1|0.0|1|
finnegans-wake.txt|1-gram|t_lower_w_stop_stem|u',',)|19433|0.109207287604|u'.',)|8430|0.0473739224259|u'!',)|4716|0.0265024220831|u'>',)|3411|0.019168736583|u'<',)|3411|0.019168736583|u"''",)|2774|0.0155889989098|u'?',)|1512|0.00849695975183|u')',)|1335|0.00750227597136|u'(',)|1320|0.00741798073573|u'\u2014',)|1260|0.0070807997932|38804|0.218066154901|19433|3.59000948212|1.0|1|102.162405334|177946|
finnegans-wake.txt|1-gram|t_raw_s_lengths|2,)|1544|0.106681406757|4,)|1133|0.078283700684|3,)|1053|0.0727561666552|5,)|1033|0.0713742831479|6,)|940|0.0649485248394|8,)|804|0.0555517169903|7,)|784|0.054169833483|9,)|625|0.0431838596006|10,)|542|0.0374490430457|11,)|443|0.0306087196849|73|0.00504387480135|1544|56.3151750973|4.0|1|186.40280503|14473|
finnegans-wake.txt|1-gram|t_lower_w_pos_only|'NN',)|59093|0.2145980259|'IN',)|27894|0.101297908965|'DT',)|20783|0.0754740962937|'JJ',)|20453|0.0742756912618|',',)|19433|0.0705715302543|'.',)|14658|0.0532309725965|'NNS',)|13330|0.0484083002259|'CC',)|11646|0.0422928030331|'PRP',)|9608|0.0348917440788|'RB',)|9438|0.0342743839109|1|3.63153039954e-06|59093|6258.31818182|1782.0|1|10472.0577573|275366|
finnegans-wake.txt|1-gram|t_raw_s_|u'.',)|24|0.00165826020866|u'Mutt.',)|16|0.00110550680578|u'Tip.',)|16|0.00110550680578|u'Jute.',)|15|0.00103641263042|u'.&#160;.&#160;.',)|13|0.000898224279693|u'Why?',)|9|0.000621847578249|u'So.',)|8|0.000552753402888|u'Stop.',)|8|0.000552753402888|u'Hide!',)|8|0.000552753402888|u'Ah ho!',)|7|0.000483659227527|13940|0.963172804533|24|1.02529045055|1.0|1|0.382010025731|14473|
finnegans-wake.txt|1-gram|t_lower_nopunct_s_|u'\n   context  httpschemaorg\n   type  book\n   author  joyce james 18821941\n   datemodified  201|1|1.0|1|1.0|1|1.0|1.0|1|0.0|1|
finnegans-wake.txt|1-gram|t_raw_w_pos_only|'NN',)|45930|0.166773782421|'IN',)|27708|0.100608925829|'NNP',)|25632|0.0930708815808|'DT',)|20653|0.0749919209304|',',)|19433|0.0705620490699|'JJ',)|16416|0.0596071938214|'.',)|14695|0.0533581696641|'NNS',)|11764|0.0427155840713|'CC',)|11570|0.0420111618247|'PRP',)|11092|0.0402755235056|1|3.63104250861e-06|45930|6259.15909091|1724.5|1|9367.34877099|275403|
finnegans-wake.txt|1-gram|t_lower_w_pos|(u',', ','),)|19433|0.0705715302543|(u'the', 'DT'),)|12017|0.0436401008113|(u'and', 'CC'),)|8477|0.0307844831969|(u'.', '.'),)|8430|0.0306138012681|(u'of', 'IN'),)|7108|0.0258129180799|(u'a', 'DT'),)|4727|0.0171662441986|(u'!', '.'),)|4716|0.0171262973642|(u'to', 'TO'),)|4472|0.0162402039467|(u'in', 'IN'),)|3565|0.0129464058744|(u'his', 'PRP$'),)|2952|0.0107202777394|55829|0.202744710676|19433|4.06654360186|1.0|1|113.97110695|275366|
finnegans-wake.txt|1-gram|t_lower_nopunct_w_stop|u'>',)|3411|0.02560849262|u'<',)|3411|0.02560849262|u'span',)|1163|0.00873136233277|u'sup',)|923|0.00692953347648|u'one',)|633|0.00475232360846|u'like',)|559|0.00419675971111|u'old',)|463|0.00347602816859|u'p',)|394|0.00295800237241|u'would',)|354|0.00265769756303|u'o',)|351|0.00263517470232|46514|0.349209447589|3411|2.28336819008|1.0|1|22.5342137572|133198|
